,报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注,时间,聚类标签,latitude,longitude
4997,2020-1-31,河北,邯郸市,1.0,0.0,0.0,河北卫健委,https://wap.peopleapp.com/article/5090693/4986007,0.0,0.0,0.0,2020-01-31,1,36.631262731204046,114.5456282282352
4998,2020-1-31,四川,成都市,10.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,2,30.655821878416408,104.08153351042463
4999,2020-1-31,四川,广安市,4.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,30.461746110678995,106.63955268233484
5000,2020-1-31,四川,绵阳市,2.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,31.473663048745863,104.6855618607612
5001,2020-1-31,四川,南充市,2.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,30.843782508337036,106.11750261487227
5002,2020-1-31,四川,自贡市,2.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,29.345584921327575,104.78444884671711
5003,2020-1-31,四川,达州市,2.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,31.214307723927455,107.47459385897544
5004,2020-1-31,四川,德阳市,4.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,31.133115003656755,104.40441936496448
5005,2020-1-31,四川,宜宾市,2.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,28.75800702855183,104.6494037048691
5006,2020-1-31,四川,内江市,2.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,29.58588653832045,105.06458802499718
5007,2020-1-31,四川,遂宁市,1.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,30.53909767110912,105.5994215306444
5008,2020-1-31,四川,凉山州,1.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,27.88775230036972,102.2735026809702
5009,2020-1-31,四川,巴中市,1.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,31.872888585956545,106.7515853031645
5010,2020-1-31,四川,雅安市,1.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,30.01679254570607,103.04954262360451
5011,2020-1-31,四川,阿坝州,1.0,0.0,0.0,四川卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiRoSlj85syCqTg3HWxRAw200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,31.905511577266523,102.23141546175019
5012,2020-1-31,安徽,合肥市,11.0,0.0,0.0,央视,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiuDuzUPzbViB2qkgNBSKL200131&fromapp=cctvnews&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,2,31.826577833686887,117.23344266497664
